match_id,kills_diff,deaths_diff,assists_diff,gold_diff,damage_diff,damage_taken_diff,cs_diff,vision_diff,mean_kda_diff,team_kda_diff,win_blue
EUW1_7418695876,14,-14,37,7324,11015,-2234,-70,10,4.652727272727272,4.208333333333333,1
EUW1_7418704340,-16,16,-21,-10214,-22076,3580,-17,-9,-6.37547619047619,-3.6875,0
EUW1_7466507897,-1,1,-6,7513,24241,-22856,-10,15,-0.43131313131313087,-0.2595238095238095,1
EUW1_7466578107,-27,27,-23,-14536,-35452,19990,-70,-6,-9.891666666666667,-7.305555555555556,0
EUW1_7467184674,3,-3,1,-2299,-17283,32851,-39,-9,0.38547619047619053,0.4342857142857146,0
EUW1_7468557157,-2,2,-7,-2819,-10212,13070,-53,-14,-3.391666666666666,-0.7213622291021673,0
EUW1_7468594630,8,-8,21,7820,18536,-27208,107,16,2.246666666666666,2.1345029239766085,1
EUW1_7468638588,4,-3,13,2726,8081,3015,-52,-38,1.0776984126984126,0.6860095389507155,1
EUW1_7482358528,-19,19,-10,-13436,-33032,27020,-41,0,-2.906904761904762,-2.5217948717948717,0
EUW1_7482391222,-4,4,-8,-3312,-5367,-3480,1,-12,-2.599999999999999,-1.4166666666666665,0
EUW1_7482422962,16,-16,28,12248,34546,-14600,-2,9,7.4352380952380965,2.9186602870813396,1
EUW1_7486950519,4,-4,35,818,50789,-63540,-5,13,1.3595177045177045,1.160455486542443,1
EUW1_7487179789,17,-17,14,8203,12947,-8982,74,8,6.3,5.946428571428571,1
EUW1_7491044632,25,-25,45,16366,30474,-5205,56,20,11.933333333333334,8.857142857142858,1
EUW1_7492136448,-13,13,-14,-6003,-9419,-776,-4,-16,-3.9916666666666663,-3.269230769230769,0
EUW1_7497787578,-3,3,-36,-6683,14423,-9270,2,6,-1.609206349206349,-1.5656682027649769,0
EUW1_7505393141,-16,16,-29,-6683,-33857,19212,-12,8,-6.6611111111111105,-4.073083778966131,0
EUW1_7506051938,9,-10,-1,10457,35877,-17243,82,7,2.69,1.5336538461538463,1
EUW1_7523468682,20,-20,46,7717,16803,-7064,-120,18,8.242698412698413,5.090620031796502,1
EUW1_7528275014,-19,19,-28,-14771,-11302,-4860,-33,-3,-7.8290476190476195,-4.91991341991342,0
EUW1_7528316159,-21,21,-42,-11625,-38379,31664,-32,-25,-10.79021645021645,-7.112903225806452,0
EUW1_7528347316,-22,22,-25,-14494,-35504,11316,5,-8,-6.292698412698412,-4.0166666666666675,0
EUW1_7528387229,-7,7,10,-5208,-52574,44089,-28,5,-0.18956043956043978,-0.3836257309941522,0
EUW1_7528459540,8,-8,16,5220,9657,-12618,-7,-19,1.5385714285714285,1.5224242424242422,1
EUW1_7528496320,1,-1,8,632,-39333,52629,20,5,0.31441613941613955,0.2711416490486256,0
EUW1_7530274934,0,0,0,85,-362,491,1,0,0.0,0.0,1
EUW1_7530287578,13,-13,10,9324,19968,-10104,80,17,4.295,3.803571428571429,1
EUW1_7530303462,-13,13,-11,-11352,3561,-17777,-24,-3,-3.0523809523809526,-2.182565789473684,0
EUW1_7532498588,19,-19,23,12902,17206,6000,62,43,3.6543650793650793,3.6192810457516345,1
EUW1_7532542140,1,-1,-22,11423,-7991,19972,118,-33,-0.10833333333333339,-0.6075268817204305,1
EUW1_7537495008,32,-31,24,10033,22150,-2373,-35,14,11.39090909090909,5.770979020979022,1
EUW1_7537532424,14,-14,25,11237,56652,-64486,60,-28,2.207222222222222,2.000716845878136,1
EUW1_7537583849,-11,11,-18,-5827,-5391,14800,-38,-4,-6.116666666666667,-6.127450980392156,0
EUW1_7538887929,-9,9,-34,2173,49397,-55513,-72,-20,-1.7777777777777777,-1.7941176470588234,1
EUW1_7538954653,13,-13,22,10363,49929,-39523,61,23,6.656666666666667,3.6005291005291005,1
EUW1_7539000591,11,-11,18,5502,16932,-5717,52,-30,2.262777777777778,1.6530214424951266,1
EUW1_7539041437,7,-7,-4,-4823,12722,-28205,-32,17,0.35108225108225133,0.512919896640827,0
EUW1_7540083873,11,-11,17,14517,15848,-147,66,22,2.4830158730158733,2.340322580645161,1
EUW1_7540167979,-4,4,-8,-5983,-6782,12273,-2,29,-1.3866666666666665,-1.1010101010101008,0
EUW1_7540245399,6,-6,7,4576,-1415,-22,-27,-3,0.920952380952381,1.146153846153846,1
EUW1_7540332763,-11,11,-24,-6002,19459,-23984,54,20,-2.4416666666666664,-1.9750519750519753,0
EUW1_7540427642,-17,17,-10,-11099,-5573,748,-52,-3,-6.453333333333334,-5.476190476190476,0
EUW1_7540701294,3,-3,1,5119,1341,16590,-13,46,1.0542857142857143,0.39629629629629637,1
EUW1_7540917297,16,-16,26,8080,68122,-64810,5,0,2.588888888888889,2.6580534022394486,1
EUW1_7541016861,2,-2,-5,-3140,5186,4211,23,9,0.8035714285714293,0.06140350877192979,0
EUW1_7541097656,0,0,0,47,120,-313,2,0,0.0,0.0,1
EUW1_7541115052,9,-9,8,832,45760,-50557,17,18,0.9577411477411477,1.107258064516129,0
EUW1_7543430030,28,-28,28,8898,53670,-36583,11,-16,5.368632478632479,4.326987681970885,1
EUW1_7543446595,1,-1,8,-6973,-8360,-2056,-77,-26,-0.675238095238095,0.6470588235294117,0
EUW1_7545387985,-9,9,-23,-8409,10419,-32794,-12,24,-2.078333333333333,-2.0879765395894427,0
EUW1_7545419224,-29,29,-39,-11924,-30311,30864,-40,-27,-12.90452380952381,-7.302272727272728,0
EUW1_7545441196,8,-8,9,5979,16474,-731,-36,53,1.420952380952381,1.3597285067873304,1
EUW1_7545479780,21,-21,26,9543,19551,66,19,34,7.854213564213565,3.4131578947368424,1
EUW1_7545489212,-14,16,16,-10390,-3149,3495,33,-18,-1.121978021978022,-1.1855072463768113,0
EUW1_7547307060,9,-9,23,5091,37163,-48112,-23,-5,2.0661111111111112,1.8835164835164835,1
EUW1_7547365202,12,-12,10,13142,4085,8233,24,19,4.731984126984127,2.1969439728353137,1
EUW1_7547404912,-8,8,-19,-9609,1008,-11429,-57,23,-1.9056060606060607,-1.3701754385964913,0
EUW1_7547428430,-6,6,-7,-6833,8616,-20997,-20,8,-0.957380952380952,-1.1,0
EUW1_7547464172,-8,8,-30,-8308,-32021,34571,-29,-9,-2.455238095238096,-2.1875,0
EUW1_7547484585,15,-15,43,7505,31226,-24283,-75,43,5.668888888888889,4.238970588235294,1
RU_515410464,-12,12,-31,-9557,-12363,10679,-21,-8,-5.872222222222222,-3.9945054945054945,0
RU_524030293,-14,14,-16,-15134,-22614,7590,-112,-6,-5.456666666666667,-5.904761904761905,0
RU_524067743,12,-12,26,-84,-9638,10190,-107,4,3.777142857142857,2.117408906882591,0
RU_524074249,-2,2,0,-6059,-10867,2168,-50,-8,-1.3099999999999994,-0.4404761904761907,0
RU_524127080,16,-16,28,9005,12145,-9182,-2,32,9.116666666666665,8.545454545454545,1
RU_524148090,11,-11,28,8905,26411,-24365,6,16,8.162857142857144,4.1268115942028984,1
RU_524151048,18,-18,24,8386,14151,-14416,84,16,8.055714285714286,7.234285714285715,1
RU_524211315,28,-28,32,8630,36131,-18933,-94,11,5.8116666666666665,4.429166666666667,1
RU_524544594,-2,1,1,-1152,-943,-1429,-31,1,-0.19999999999999996,-0.55,0
RU_524546391,17,-17,21,14234,10200,-15648,-47,36,8.29095238095238,4.448717948717948,1
RU_524550320,10,-10,15,11187,9122,-1902,-3,2,5.055714285714286,1.71875,1
RU_524567893,8,-8,12,9145,2467,-1325,80,12,3.4733333333333336,3.0065359477124183,1
RU_525356174,32,-32,16,10751,23997,-10296,-44,10,7.941861471861472,4.513805522208884,1
RU_525364836,10,-10,50,11938,10548,-27039,86,-37,3.1057359307359307,2.0893719806763285,1
RU_525434436,-15,15,-17,-13637,-15846,10427,-47,-18,-5.7630952380952385,-3.3,0
RU_525438386,25,-26,48,16551,37236,-6108,-10,-10,9.312460317460317,6.792857142857144,1
RU_526235199,20,-20,19,12260,13666,-3658,97,11,8.459999999999999,21.318181818181817,1
RU_526372555,-8,8,10,-6465,-8281,-11937,-20,-8,-1.8083333333333336,-0.6242424242424243,0
RU_526502214,-6,6,-20,-3751,-4442,-4547,42,20,-1.2145238095238096,-1.2121710526315788,0
RU_526811958,8,-8,8,6348,-36892,37841,-34,43,3.696666666666667,1.8119658119658117,1
RU_526818965,3,-3,11,5376,-14095,26357,-21,-53,-0.4971428571428569,0.5662393162393164,1
RU_526821457,12,-12,16,15349,12294,-4113,150,26,6.383333333333335,5.624060150375939,1
RU_526823022,-9,9,-16,-11171,-25047,19914,-67,-12,-1.755952380952381,-1.3706563706563708,0
RU_526872675,-20,21,-14,-14103,-25263,-7872,-41,-31,-4.9876556776556775,-3.0256410256410255,0
RU_526874164,-2,2,2,-10064,-14181,-1807,-89,20,-0.1344444444444446,-0.11781011781011808,0
RU_526878724,-12,12,-16,-8649,-31625,22388,-8,-22,-2.233650793650794,-1.989189189189189,0
RU_526881156,-31,30,-38,-12491,-23861,9693,-29,-43,-5.4711544011544015,-4.156685808039377,0
RU_526883412,14,-14,30,6750,12579,-30594,-135,12,1.492323232323233,1.630952380952381,1
RU_526962727,-22,22,-16,-5431,1240,-1840,-23,-12,-2.378846153846154,-2.737021276595745,0
RU_527089446,2,-2,29,6736,-1095,6893,-54,-22,1.4479365079365079,1.1173020527859239,1
RU_527162882,-8,8,8,80,24657,-11822,52,-30,1.5316883116883115,-0.4394129979035637,1
RU_527172815,22,-22,35,13711,41963,-24615,55,8,4.2666666666666675,3.7272727272727266,1
RU_527176975,-22,22,-57,-11288,-40171,31757,57,49,-4.823094062799945,-2.9816765918460835,0
RU_527178390,-17,16,-22,-14641,-49610,39318,-51,-15,-3.1235714285714287,-2.767942583732058,0
RU_527191683,7,-7,15,3950,7409,3467,19,31,1.2103896103896101,1.29520697167756,1
