gameName,tagLine,puuid,summonerLevel
ДЕПНУЛ РУ СЕРВЕР,IC3,u6_1ODdj_jxkNkh21Kj9XWnSmW2upSNcXdBU4pkY3OsL_wRVY56xbJPdtNSuaWxqe-AbiVKtT4MxxA,316
VаnguardSpyWare,SCRPT,PFmW5MCUSAnDW6NfoA3U7MySH7Hxi2nTk3WVuu-1LwpSwGvxKkWXs4W8JF3Mxoxff6jvdAtd3mnw5A,154
EUW IA FINITA,RU1,rAbrME-ZUj_mQoVIoxjDgjweP_K_yH8bgsXW9m2J6qumC3qzM8IP2H9Lsd86EJ_FuJhMgm8tceBiAg,140
Melover,TILT,qNvh7NPhLXrxBgGy_9FSsnRFdqT5dIqmFcQUzuhNCGAg0b7JgzuxVSKIRZyHPresld_ZaKjnIgpI8g,386
weixiao,RU1,AGWaswifLzsixQ7GVsIjIgal2-ZxYHKZk4N9kvO_6tCnfHlnbZvBmeqD4Npa8YeY5MzRrMdEB2fRuQ,399
гармония,ssshh,N0fYf5ZgL9b_fp3iX3Qy3aC-hO8JYY4VA2QaJ4iSejvve8x_5Se4Z-UxZ7ImtMzSs3uSsycavBsJaw,185
СестричкаХаттона,бака,KNyS8-bOi7pAo3b8efOWt8QAo5AjnyiamqvmQN1dZVPUAZzkWSdmMUB7MnmSDN0HKuR8VHAJutKqAA,1056
Tenshî,02792,0Cg00qIoOjIsu0k4VVT8Am-hGmibhkyk-mC2Hl2oCIXVkFjJ8SLDYE3VSvUeLimeC1yPoZNOjI6YrA,627
Lvivskii Borsch,UKR,nCf0HjbNB_7TU5SvkyYjf-ZjU8dM7PVT-XDzhiUdpALEz25Oe5fGc6Z-CP51-zJLJpPpObSS6Mwtag,879
MrPluse,memes,poSqWeb7uKrRd5mrzAASSjxHQWSDXvJ5yib-xJwKhsxydzgdBcimt1dsQ5ZKcacGLJKNZ-tbe2JCQw,1368
ya uebiwe,iwnl,GMQK1B8Ww5nAyEueWmMcArVncGmpF6WityXDmCofGx6yjt3mohlO0rdsHUY5ZGXdGcwLGkkgJYczmQ,384
Hades1,TOP1,0g7QxuC3Mdw-jtPy6kf4oa-DF-JU4N-G8DEZKA0NKCba9_MHblz3XvHvDCUzazVR2zotkm2PhRu4Eg,646
Ragnorek,RU1,UB88OwJde6pY670DeX2wNRLcKbCVNS2msBhtlonCHVf6cNHmm_CqhGX7LkCgntEu-MdO2YIMAJR2ag,68
Gottor,Pavel,wJBUZMt6SklsH2qMhQqTPAiBhJDXZeZwCz5CFPaYIcm81fF_gTapgqh9M5Z2gTyuG0I7G0zZOjHOXg,626
c6b5ed,sadge,emsE-fMC4ch7E0NqbyDZ0eRyU9s1KphYE0ndg1WQ--NZEvj-Ohovm_VS39JwrJE8AsoODeKtKCFNKQ,906
恐怖中国人,520,_c960ExtyWEOf2WdnAzZhSpEY0zXiAHqeUPv8q2ylYYg-EPuVmj8OU2UCnvTLgdr2pPBEBP8Ql-vyg,74
не сойти с ума,прошу,UeFEmkYOnn3zqcTP06T26GZwYRtvuwRE_PQOSVSajTVtpQE0zuyqtHFzSlBtobtZv98a6uFBnepmRA,113
СВЕКЛОВИЧНЫЙ ЖОМ,ЖОМ,HhuHaw9kII3K_i-dA0YeUD2jXPD04090LQQUsDIKn3VjsI7bYq1ZxTb1dnbogqiB51LWJ7HTV1TACQ,518
CD4,CD4,Ql7OqvvBH8hQ_zUSmG1W6QdTrYWBuLX_cZ5d_1J9hOI9oBdbVC_cVLVIRqE2lQy-6UL7eXwzP2rQFg,361
paranoidcute,0001,xLIocWny0ko4uSyA5zcnjvkIZlNgxx6Fbb7V8dAfrS5qq2MXlOx5r4DdR6GSgYB_V7I9cfIZKCE_qw,926
МОНАШКА,DEVIL,q9mWl1RkSHuojiy0f-DaOMUc3mV8GvY3qcTVtab3vCSSVBHNEh5um8z2eXkPAGRRIrCM8SDuIlDXyA,89
Soullessave,RU1,l9gZYIjxDgFt_Qa1XFYQpKhgty9JUdhEOFPIhB65Ex2iS4w7spSfRxcH-tGcrUzDYYgw41MMzZ0YpA,968
eби мeня мaлыш,ˆsехˆ,Uhxf8zMfM5STfpkRGIMRBKiz8d5toJZDJnXT9RyADS9BueWHKedA4SwROG2ocuUk7bkQz86SP2uspA,624
яНеКурю Я Кирилл,RU1,pvad_9UnL0Ef8ppxQaCrSGQcv8UCJf5QewnTlrmubavFB0pASyIRSFqYWJJnDuaSC2aan3w2cvsMEw,91
RIVENUSHKA,KYXS,APTm16oMdwj9Q_QcHIdoX-4I45Jhkm6GGWIBzou9yIKkrbgH_XRJEdgkv-VVDs3lFm5k-hm__ps8qQ,145
Ready To Die,RU1,WavTnlyEo2PKWY7_KHSEIMvNQX4RktIvnlhlIb5n1IBEw0AlpRf0B047hLwVdFcTkVn_t1Zta6P_GA,1568
GANIBAL lektor,WWWWW,U6J6d7eK0sIkHBzbFyr1BoTNfYqI18Du-mGKcmIhfLg8MtDy8tM_PSgfn1o63insNoWHfEmbJo9-GA,683
Titmoc,2004,COF3MZyu5qjDJvbD_CKCNCSTKYTe-ag1GstgJ0IxPE_3Siv6bdapfsakXtG8wi5cIuI4-fWBx7uhuQ,178
Вечно Молодой,Top,5YZOk_Vu6u8zdd56L4WXh64DIQiVVC9QIOXpdb-0HnhWHiHV95SiKT9SVimMnjXmoRgHOi8RyL8UqA,857
тильтозаврик,sda,0tleDnBM18VKVJpA3YZCnXTQa7CqWoW2zGLBlla1fujJHmIOth0VUYMpvIbFzVQ9TnKhEfUXlXoZQg,154
BMPX,RSO,N15qK6zZ78PvNhVIsZlZHjPgyfkvd4X1eac6X6FzHjmCkdwCYKTnrB-zOTZlFwEeyCqQ3N1En8TqHg,660
Alisa Powder,Alica,SitS5mitBjeVmcIlG_gfK4YwbFcyGunGGtUT-f4BwLuZykmi93vaIxX9XCPe7LAQgcFtpI55hrkKug,1103
Tryndra12,Samsa,8SXnwZnXJfEMz5sX8st-8lYWox5JKz3HSLYH-ggPd54z9Cgtx_goNQ6JTNT0my5TjmNwWXf4DL0XQg,1114
Ultraslabyi,slab,hGZIgVX1b8g_HwSXcCBp9xX_ynK_qEV6CdQTuBJtNcC6EtosxtSF1IonnzOhjM4n3um7eiwup2i23A,287
машинка,qbee,HutOBLANzqnR5KSzVAHzntMArlQGvUkI5rZDb0NpDdPj_Zf10cjhQmVMyPcX0kC1qVs6nG9Ll_f2lQ,909
Márch,RU1,sgjLooX92cCNHbrJuWN7MgoPnqJKR4TO_sszdh8TkIHLz7KSHfPLK8TkG4XsE88kcOSeVvWZb353Iw,276
xvxuauaie,3003,8LNfz5-eFDbNIZ-VYE9bB2QovrjFtqHoSRL1IYuuDfXNK4ia5EbhxH1lUZDsaPnN3LAI10tsV3F0uA,979
Arwen Undómiel,RU1,WSlAecYzvU27lUCipmSPUZkTkXX-PkwAYQy3mo5mROHcVeNqYqPFhWFySqOrbIHTOLR78Z7C6PLmoA,309
TRAXATb KITTY,777,-1w-aNqRKHmT2sUMINZO6qYYJ0tJssJN-M0XUjZEXH7DED8e9_WwqpwLY1dbTOZAiikvabb_c_xoCA,696
eternal drama,666,LPb3cGBkOxpiBP70KFaXuc6phwBxhqo0rhqPd9RuVrDfb5_QFIbUBDDsoIz1AogrLx03bDroPlGxYg,998
я тренируюсь,6724,bSoeYT-DiKFkJ1NYSaCDXCVbILWxMK96ZxqS2KI9AVKHn462BDV_mZXmyt9q5lCxVwE0pnY82-Y6GQ,745
Bunk0po0bashke,RU1,9F7AKmXTRf-rO_Rafkezq9v4Qx7duN6QIkJvq-M-VSZ21UuoxO5WopQQbTHYDqjvhogaOAjXB0EXpQ,457
2pizza ПесДаЛис,RU1,v_HemMWIkovT-o6YiJofELmYouosUUBf4huNcRRXCKgdJ1LVXfybtVFvzSrlsx55RpfIhnmWSG4-Nw,272
kaiyava,fate,YwPHEf7MB63Lt2NGrwbwQQjHfx6Xb_Fd0ichW3w-CILXkiqKE43yV2Ujckj6UVYI5UIEY5bkS6yD7A,289
pisun yasuo,CHLEN,WiP3zjy7DtCkHt_ZLg-AykWKgwlmqVy5VkDKzwLASJaFBEjjJxtbT814VYdBRM2nQw3NrjrlgOYYnA,74
Ghoul,RU1,0ETF3qM0QcxM5fwvrEbqC7tM--z4M3esNd9xOBJwwZ9a9CrZrs9MRk4SqxS34SnqAxoxhPob776alw,136
Agni Kai,forge,Dy-eP4E8jlAb_NPT6K5eIQfJX7XNSAs-OHt4IjQxRJRUZ82AJjwL8-txpqudJBGnqRljmNoa-Eniqw,712
