,gameName,tagLine
0,ДЕПНУЛ РУ СЕРВЕР,IC3
1,VаnguardSpyWare,SCRPT
2,EUW IA FINITA,RU1
3,Melover,TILT
4,weixiao,RU1
5,гармония,ssshh
6,СестричкаХаттона,бака
7,Tenshî,02792
8,Lvivskii Borsch,UKR
9,MrPluse,memes
10,ya uebiwe,iwnl
11,Hades1,TOP1
12,Ragnorek,RU1
13,Gottor,Pavel
14,c6b5ed,sadge
15,恐怖中国人,520
16,не сойти с ума,прошу
17,СВЕКЛОВИЧНЫЙ ЖОМ,ЖОМ
18,CD4,CD4
19,paranoidcute,0001
20,,
21,МОНАШКА,DEVIL
22,Soullessave,RU1
23,eби мeня мaлыш,ˆsехˆ
24,яНеКурю Я Кирилл,RU1
25,RIVENUSHKA,KYXS
26,Ready To Die,RU1
27,GANIBAL lektor,WWWWW
28,Titmoc,2004
29,Вечно Молодой,Top
30,тильтозаврик,sda
31,BMPX,RSO
32,Alisa Powder,Alica
33,Tryndra12,Samsa
34,Ultraslabyi,slab
35,машинка,qbee
36,Márch,RU1
37,xvxuauaie,3003
38,Arwen Undómiel,RU1
39,TRAXATb KITTY,777
40,eternal drama,666
41,я тренируюсь,6724
42,Bunk0po0bashke,RU1
43,2pizza ПесДаЛис,RU1
44,kaiyava,fate
45,pisun yasuo,CHLEN
46,Ghoul,RU1
47,Agni Kai,forge
48,Талант,777
49,LokBast,RU1
50,Bladee saved me,RU1
51,Fallen king,RU1
52,dropbouf,0000
53,No Fun Allowed,RU1
54,Fonce,ZZZ
55,мактрахep69,жопаа
56,Weak Mentality,1705
57,666,rwya
58,カミーユ,サンライズ
59,Mental Terrørist,ZXC
60,Kendrick Lenar,RU1
61,RUservˇsParamour,yours
62,VIENNESE WALTZ,RU1
63,Khaslana,fate
64,Ungoliant,kisa
65,BABY S T A R,RU1
66,SchrodyCat,meow
67,fw1qiogasfa,sssss
68,a wind rhythm,lost
69,MrTеa,Tea
70,Fiskar,ισημε
71,mercy me pls,RU1
72,Azakana,妖怪ヨネ
73,Blake Rose,Roses
74,мятная sоsаlо4ка,2013
75,NEFELIBATA,SOON
76,люблю Марину,KITTY
77,Frozen,GOGO
78,マシュマロ,00000
79,L9 Dr Livesey,1337
80,avilkunisachamp,9115
81,Бардилочка,мур
82,Девка без руки,jggap
83,Lost in yóu,RU1
84,śaekkòretsù,枝狭技
